id;name;code;level;parent_id
3021100;دهستان حومه;3021100;4;3001440
3021172;دهستان نسکند;3021172;4;3001468
3021195;دهستان مسکوتان;3021195;4;3001477
3021185;دهستان قرقری;3021185;4;3001474
3023008;دهستان لوتک;3023008;4;3002760
3022903;دهستان محمد آباد;3022903;4;3002760
3021153;دهستان خمک;3021153;4;3001461
3021151;دهستان زهک;3021151;4;3001460
3021033;دهستان سعید آباد;3021033;4;3001413
3021045;دهستان سجاس رود;3021045;4;3001418
3010588;شهر پیشین;3010588;5;3001467
3010578;شهر زاهدان;3010578;5;3001456
3010535;شهر گرماب;3010535;5;3001416
3010533;شهر سهرورد;3010533;5;3001415
3010534;شهر قیدار;3010534;5;3001415
3022973;شهر دارخوین;3022973;5;3002732
3022834;شهر چیتاب;3022834;5;3002743
3010848;شهر پاتاوه;3010848;5;3001709
3010788;شهر باغین;3010788;5;3001650
3010804;شهر نودژ;3010804;5;3001661
3010812;شهر نظام شهر;3010812;5;3001672
3020124;دهستان بروانان مرکزی;3020124;4;3001037
3020053;دهستان رازلیق;3020053;4;3001016
3020067;دهستان خضرلو;3020067;4;3001021
3020080;دهستان کشکسرای;3020080;4;3001025
3020211;دهستان گورک سردشت;3020211;4;3001067
3020227;دهستان یولاگلدی;3020227;4;3001073
3022995;دهستان کارزان;3022995;4;3002750
3020457;دهستان ارکوازی;3020457;4;3001160
3020992;دهستان شهید مدرس;3020992;4;3001395
3022998;دهستان زازران;3022998;4;3002737
3020410;دهستان کوهپایه;3020410;4;3001140
3020424;دهستان چم کوه;3020424;4;3001146
3020592;دهستان ملارد جنوبی;3020592;4;3001227
3020593;دهستان ملارد شمالی;3020593;4;3001227
3020657;دهستان گزیک;3020657;4;3001256
3020667;دهستان نهارجان;3020667;4;3001261
3020668;دهستان باغستان;3020668;4;3001262
3020669;دهستان برون;3020669;4;3001262
3020683;دهستان نیمبلوک;3020683;4;3001267
3020688;دهستان عربخانه;3020688;4;3001269
3023077;دهستان شاسکوه;3023077;4;3002728
3022896;دهستان بهناباد;3022896;4;3002728
3022849;دهستان کوه یخاب;3022849;4;3002787
3022999;دهستان پیرحاجات;3022999;4;3002729
3020845;دهستان اشتین;3020845;4;3001336
3020728;دهستان پائین رخ;3020728;4;3001288
3020735;دهستان میان جوین;3020735;4;3001291
3020746;دهستان رستاق;3020746;4;3001296
3020848;دهستان سلطان آباد;3020848;4;3001337
3020757;دهستان تکاب;3020757;4;3001302
3020775;دهستان کراب;3020775;4;3001310
3020542;دهستان کریم آباد;3020542;4;3001202
3022924;دهستان کرشت;3022924;4;3002739
3020648;دهستان فشارود;3020648;4;3001253
3020547;دهستان ابرشیوه;3020547;4;3001206
3020549;دهستان جمع آبرود;3020549;4;3001206
3020557;دهستان حسن آباد;3020557;4;3001210
3023002;دهستان مزینان;3023002;4;3002756
3020880;دهستان قوشخانه پایین;3020880;4;3001349
3020893;دهستان شیرین سو;3020893;4;3001355
3020886;دهستان بالادشت;3020886;4;3001352
3020927;دهستان مرغا;3020927;4;3001367
3021021;دهستان ملاثانی;3021021;4;3001409
3021023;دهستان ویس;3021023;4;3001410
3021832;دهستان مزرعه جنوبی;3021832;4;3001723
3022316;دهستان برنطین;3022316;4;3001912
3022317;دهستان بیکاه;3022317;4;3001912
3022321;دهستان رودخانه بر;3022321;4;3001914
3022322;دهستان مسافر آباد;3022322;4;3001914
3022331;دهستان صلخ;3022331;4;3001918
3022328;دهستان رمکان;3022328;4;3001917
3022342;دهستان سندرک;3022342;4;3001922
3022355;دهستان پیرسلیمان;3022355;4;3001928
3021644;دهستان  سرآسیاب فرسنگی;3021644;4;3001650
3021660;دهستان ده کهان;3021660;4;3001656
3021662;دهستان کوتک;3021662;4;3001656
3021664;دهستان حومه;3021664;4;3001657
3021696;دهستان مومن آباد;3021696;4;3001672
3021694;دهستان عزیزآباد;3021694;4;3001671
3021702;دهستان منصوری;3021702;4;3001674
3021710;دهستان دشت حر;3021710;4;3001678
3022370;دهستان خرقان;3022370;4;3001934
3021721;دهستان حومه کرند;3021721;4;3001682
3021730;دهستان بشیوه پاطاق;3021730;4;3001686
3021731;دهستان پشت تنگ;3021731;4;3001686
3021740;دهستان آگاهان;3021740;4;3001688
3021742;دهستان کیونات;3021742;4;3001688
3022092;دهستان بابل کنار;3022092;4;3001823
3022089;دهستان گنج افروز;3022089;4;3001821
3022103;دهستان عزیزک;3022103;4;3001828
3022113;دهستان بلده;3022113;4;3001833
3022192;دهستان کلار غربی;3022192;4;3001863
3022154;دهستان امامزاده عبدالله شمالی;3022154;4;3001849
3021831;دهستان گرگان بوی;3021831;4;3001722
3022201;دهستان گرکان;3022201;4;3001867
3020570;دهستان قائم آباد;3020570;4;3001216
3020655;دهستان میاندشت;3020655;4;3001255
3022626;دهستان لانو;3022626;4;3001984
3021406;دهستان کوهپایه شرقی;3021406;4;3001563
3021338;دهستان بنارویه;3021338;4;3001535
3023058;دهستان تمین;3023058;4;3002803
3021512;دهستان چهل چشمه غربی;3021512;4;3001604
3021756;دهستان قره سو;3021756;4;3001693
3021708;دهستان سیروان;3021708;4;3001677
3021789;دهستان سررودشمالی;3021789;4;3001705
3022005;دهستان ذلقی غربی;3022005;4;3001793
3022023;دهستان ازنا;3022023;4;3001799
3020054;دهستان صائین;3020054;4;3001016
3020101;دهستان میشه پاره;3020101;4;3001031
3020177;دهستان پیران;3020177;4;3001055
3020321;دهستان آلوارس;3020321;4;3001109
3020338;دهستان قهاب شمالی;3020338;4;3001115
3023100;دهستان طیبی گرمسیری جنوبی;3023100;4;3002765
3021669;دهستان قلعه;3021669;4;3001660
3021722;دهستان قلخانی;3021722;4;3001683
3022094;دهستان سجادرود;3022094;4;3001824
3022184;دهستان ناتلرستاق;3022184;4;3001860
3022233;دهستان حکیم آباد;3022233;4;3001877
3022477;دهستان چهار دانگه;3022477;4;3001975
3021940;دهستان رحیم آباد;3021940;4;3001768
3021937;دهستان سیاهکلرود;3021937;4;3001767
3021944;دهستان توتکی;3021944;4;3001770
3021951;دهستان احمد سرگوراب;3021951;4;3001773
3021957;دهستان هندوخاله;3021957;4;3001775
3021963;دهستان اسالم;3021963;4;3001778
3021978;دهستان لفمجان;3021978;4;3001783
3021867;دهستان اترک;3021867;4;3001738
3021868;دهستان کرند;3021868;4;3001738
3021893;دهستان دهگاه;3021893;4;3001750
3020632;دهستان میلاس;3020632;4;3001246
3022916;دهستان سردشت;3022916;4;3002794
3022883;دهستان زاینده رودجنوبی;3022883;4;3002807
3020083;دهستان هرزندات غربی;3020083;4;3001025
3020122;دهستان بروانان شرقی;3020122;4;3001037
3020086;دهستان باروق;3020086;4;3001027
3020006;دهستان دستجرد;3020006;4;3001002
3020016;دهستان گویجه بل;3020016;4;3001005
3020020;دهستان دیکله;3020020;4;3001006
3020022;دهستان شبلی;3020022;4;3001007
3020137;دهستان بسطاملو;3020137;4;3001042
3020135;دهستان گرمادوز شرقی;3020135;4;3001041
3020055;دهستان ملایعقوب;3020055;4;3001016
3020057;دهستان اردلان;3020057;4;3001017
3020059;دهستان سیس;3020059;4;3001018
3020068;دهستان دیزجرودغربی;3020068;4;3001021
3020078;دهستان دولت آباد;3020078;4;3001025
3020207;دهستان قطور;3020207;4;3001066
3020201;دهستان گوهران;3020201;4;3001063
3020220;دهستان شناتال;3020220;4;3001070
3020226;دهستان قره قویون شمالی;3020226;4;3001073
3020173;دهستان چایباسارشرقی;3020173;4;3001053
3020142;دهستان باراندوز;3020142;4;3001044
3020144;دهستان باراندوزچای شمالی;3020144;4;3001044
3020154;دهستان نازلوچای;3020154;4;3001046
3020163;دهستان دشت بیل;3020163;4;3001049
3020171;دهستان آختاچی محالی;3020171;4;3001052
3020184;دهستان کرفتو;3020184;4;3001057
3020433;دهستان کوهستان;3020433;4;3001149
3020445;دهستان خالدآباد;3020445;4;3001154
3020441;دهستان برزرود;3020441;4;3001153
3020364;دهستان چنارودشمالی;3020364;4;3001126
3022480;دهستان هیو;3022480;4;3001976
3022475;دهستان برغان;3022475;4;3001974
3022483;دهستان پائین طالقان;3022483;4;3001978
3022885;دهستان صحت آباد;3022885;4;3002726
3023035;دهستان پلنگ آباد;3023035;4;3002727
3022493;دهستان تنکمان شمالی;3022493;4;3001982
3022495;دهستان جمال الدین;3022495;4;3001983
3021213;دهستان شهرمیان;3021213;4;3001484
3021249;دهستان محمله;3021249;4;3001499
3021534;دهستان ژاورود;3021534;4;3001610
3021598;دهستان گنبکی;3021598;4;3001635
3020534;دهستان ده عباس;3020534;4;3001199
3020181;دهستان لاهیجان غربی;3020181;4;3001056
3020260;دهستان دوجاق;3020260;4;3001085
3020258;دهستان شرقی;3020258;4;3001084
3020276;دهستان خانندبیل غربی;3020276;4;3001092
3020322;دهستان ارجستان;3020322;4;3001110
3020283;دهستان سنجبدشمالی;3020283;4;3001095
3020303;دهستان صلوات;3020303;4;3001102
3020307;دهستان نقدی;3020307;4;3001103
3020348;دهستان رامشه;3020348;4;3001119
3020344;دهستان رودشت;3020344;4;3001117
3020356;دهستان شاپورآباد;3020356;4;3001122
3020354;دهستان سین;3020354;4;3001121
3020287;دهستان آنی;3020287;4;3001097
3020288;دهستان اجارودشمالی;3020288;4;3001097
3020327;دهستان برزاوند;3020327;4;3001113
3020230;دهستان چایباسارجنوبی;3020230;4;3001075
3020242;دهستان زرینه رودشمالی;3020242;4;3001079
3020244;دهستان مرحمت آبادجنوبی;3020244;4;3001079
3020145;دهستان باش قلعه;3020145;4;3001044
3020149;دهستان روضه چای;3020149;4;3001044
3020202;دهستان ایواوغلی;3020202;4;3001064
3020362;دهستان کبوتر سرخ;3020362;4;3001125
3022844;دهستان ایپک;3022844;4;3002726
3023072;دهستان جارو;3023072;4;3002727
3020452;دهستان سراب باغ;3020452;4;3001157
3020501;دهستان دالکی;3020501;4;3001182
3020516;دهستان چغاپور;3020516;4;3001190
3020521;دهستان آبکش;3020521;4;3001192
3020522;دهستان بردخون;3020522;4;3001192
3020467;دهستان دوستان;3020467;4;3001165
3020470;دهستان سیدابراهیم;3020470;4;3001167
3020386;دهستان دشت;3020386;4;3001134
3020389;دهستان دالانکوه;3020389;4;3001135
3021370;دهستان فهلیان;3021370;4;3001546
3010209;شهر بافران;3010209;5;3001149
3010805;شهر ارزوئیه;3010805;5;3001662
3010392;شهر تربت حیدریه;3010392;5;3001286
3010407;شهر درگز;3010407;5;3001302
3010279;شهر چهار دانگه;3010279;5;3001200
3010478;شهر قلعه تل;3010478;5;3001370
3023062;شهر بیرانشهر;3023062;5;3002734
3010543;شهر ماه نشان;3010543;5;3001425
3010553;شهر کلاته خیج;3010553;5;3001432
3010555;شهر بیارجمند;3010555;5;3001433
3010551;شهر شاهرود;3010551;5;3001431
3023007;شهر رودیان;3023007;5;3001431
3010577;شهر مهرستان;3010577;5;3001454
3010596;شهر بنت;3010596;5;3001476
3010568;شهر نگور;3010568;5;3001445
3022970;شهر ادیمی;3022970;5;3002781
3023010;شهر فتح المبین;3023010;5;3001393
3010510;شهر شوشتر;3010510;5;3001395
3023011;شهر کوپن;3023011;5;3001505
3010151;شهر تیران;3010151;5;3001123
3010642;شهر زرقان;3010642;5;3001515
3010651;شهر فیروزآباد;3010651;5;3001522
3010680;شهر خومه زار;3010680;5;3001546
3010681;شهر نور آباد;3010681;5;3001546
3011067;شهر درگهان;3011067;5;3001917
3010865;شهر بندرترکمن;3010865;5;3001726
3010889;شهر بندر انزلی;3010889;5;3001753
3010898;شهر پره سر;3010898;5;3001761
3010883;شهر آستارا;3010883;5;3001747
3010858;شهر آزادشهر;3010858;5;3001720
3010037;شهر کشکسرای;3010037;5;3001025
3010054;شهر ترک;3010054;5;3001038
3010042;شهر کلوانق;3010042;5;3001027
3010002;شهر گوگان;3010002;5;3001002
3010024;شهر سیس;3010024;5;3001018
3010028;شهر کوزه کنان;3010028;5;3001018
3010032;شهر عجب شیر;3010032;5;3001021
3010426;شهر کاشمر;3010426;5;3001320
3010434;شهر ملک آباد;3010434;5;3001327
3010440;شهر خرو;3010440;5;3001332
3010444;شهر عشق آباد;3010444;5;3001334
3010514;شهر گتوند;3010514;5;3001397
3010549;شهر سمنان;3010549;5;3001429
3010561;شهر مهدی شهر;3010561;5;3001438
3010584;شهر محمدی;3010584;5;3001462
3010580;شهر نصرت آباد;3010580;5;3001459
3010503;شهر شادگان;3010503;5;3001390
3010627;شهر فدامی;3010627;5;3001502
3010625;شهر داراب;3010625;5;3001500
3010632;شهرپیر;3010632;5;3001507
3010633;شهر اردکان;3010633;5;3001508
3010663;شهر کنارتخته;3010663;5;3001531
3010658;شهر کازرون;3010658;5;3001526
3010667;شهر عماد ده;3010667;5;3001533
3023057;شهر میرجاوه;3023057;5;3002733
3010600;شهر آباده;3010600;5;3001480
3010602;شهر بهمن;3010602;5;3001480
3010604;شهر صغاد;3010604;5;3001480
3023091;شهر معلم کلایه;3023091;5;3002763
3010719;شهر قنوات;3010719;5;3001582
3010725;شهر آرمرده;3010725;5;3001589
3010741;شهر قروه;3010741;5;3001607
3010768;شهر محمدآباد;3010768;5;3001634
3010777;شهر زیدآباد;3010777;5;3001641
3010778;شهر خاتون آباد;3010778;5;3001643
3010793;شهر راین;3010793;5;3001652
3010083;شهر میرآباد;3010083;5;3001068
3010139;شهر نصرآباد;3010139;5;3001118
3010141;شهر حسن آباد;3010141;5;3001119
3010142;شهر تودشک;3010142;5;3001120
3010150;شهر کمشجه;3010150;5;3001122
3010145;شهر خورزوق;3010145;5;3001121
3010241;شهر ارکواز;3010241;5;3001172
3010167;شهر گرگاب;3010167;5;3001132
3010174;شهر داران;3010174;5;3001135
3010178;شهر برف انبار;3010178;5;3001137
3010180;شهر کلیشاد وسودرجان;3010180;5;3001138
3010190;شهر نیاسر;3010190;5;3001142
3010296;شهر کهریزک;3010296;5;3001211
3010305;شهر فردوسیه;3010305;5;3001216
3010303;شهر شهریار;3010303;5;3001216
3010358;شهر قهستان;3010358;5;3001257
3022848;شهر خوسف;3022848;5;3002753
3022923;شهر طبس;3022923;5;3002729
3010698;شهر محمدیه;3010698;5;3001566
3010668;شهر اوز;3010668;5;3001534
3010664;شهر خور;3010664;5;3001532
3023088;شهر قصر قند;3023088;5;3002791
3010603;شهر سورمق;3010603;5;3001480
3010605;شهر ارسنجان;3010605;5;3001481
3010608;شهر رونیز;3010608;5;3001483
3010610;شهر حسن آباد;3010610;5;3001485
3010744;شهر کامیاران;3010744;5;3001610
3023093;شهر دشتکار;3023093;5;3001617
3010755;شهر بم;3010755;5;3001621
3022874;شهر گنبکی;3022874;5;3001635
3010775;شهر پاریز;3010775;5;3001639
3010104;شهر پارس آباد;3010104;5;3001089
3010124;شهر آران و بیدگل;3010124;5;3001111
3010126;شهر نوش آباد;3010126;5;3001111
3010064;شهر نالوس;3010064;5;3001050
3011131;شهر هشتگرد;3011131;5;3001976
